Facility,Destination City,Supplier,Base + FSC
LA/LB Ports,"COLTON, CA",J&S LOGISTICS,551
LA/LB Ports,"COLTON, CA",South Bay Drayage- LOS ANGELES LONG BEACH,551
LA/LB Ports,"COLTON, CA",Trucking 2000,553.9
LA/LB Ports,"COLTON, CA",Elev8 Transportation LLC,556.8
LA/LB Ports,"COLTON, CA",Franco Trucking - LOS ANGELES LONG BEACH,558.25
LA/LB Ports,"COLTON, CA","Hight Logistics, Inc.",558.25
LA/LB Ports,"COLTON, CA",NGL LOGISTICS,558.25
LA/LB Ports,"COLTON, CA",NGL TRANSPORTATION,558.25
LA/LB Ports,"COLTON, CA",Mid Lane Carriers Inc.,561.08
LA/LB Ports,"COLTON, CA",Cargomatic,645.25
LA/LB Ports,"COLTON, CA",XTL Trucking,652.5
LA/LB Ports,"COMMERCE, CA",DCW Logistics,319
LA/LB Ports,"COMMERCE, CA",fitted transportation,319
LA/LB Ports,"COMMERCE, CA",Mid Lane Carriers Inc.,330.27
LA/LB Ports,"COMMERCE, CA",FORREST LOGISTICS,333.5
LA/LB Ports,"COMMERCE, CA",Elev8 Transportation LLC,348
LA/LB Ports,"COMMERCE, CA",Franco Trucking - LOS ANGELES LONG BEACH,348
LA/LB Ports,"COMMERCE, CA",NGL LOGISTICS,348
LA/LB Ports,"COMMERCE, CA",J&S LOGISTICS,355.25
LA/LB Ports,"COMMERCE, CA",XTL Trucking,355.25
LA/LB Ports,"COMMERCE, CA","Hight Logistics, Inc.",362.5
LA/LB Ports,"COMMERCE, CA",Trucking 2000,372.65
LA/LB Ports,"COMMERCE, CA",Cargomatic,377
LA/LB Ports,"COMMERCE, CA",South Bay Drayage- LOS ANGELES LONG BEACH,406
LA/LB Ports,"COMMERCE, CA",STARLING FREIGHT INC,580
LA/LB Ports,"COMPTON,CA",fitted transportation,253.75
LA/LB Ports,"COMPTON,CA",Mid Lane Carriers Inc.,276.56
LA/LB Ports,"COMPTON,CA",DCW Logistics,278.4
LA/LB Ports,"COMPTON,CA",NGL LOGISTICS,297.25
LA/LB Ports,"COMPTON,CA",Franco Trucking - LOS ANGELES LONG BEACH,304.5
LA/LB Ports,"COMPTON,CA","Hight Logistics, Inc.",304.5
LA/LB Ports,"COMPTON,CA",J&S LOGISTICS,304.5
LA/LB Ports,"COMPTON,CA",Elev8 Transportation LLC,305.95
LA/LB Ports,"COMPTON,CA",FORREST LOGISTICS,319
LA/LB Ports,"COMPTON,CA",XTL Trucking,326.25
LA/LB Ports,"COMPTON,CA",Trucking 2000,332.05
LA/LB Ports,"COMPTON,CA",Cargomatic,333.5
LA/LB Ports,"COMPTON,CA",South Bay Drayage- LOS ANGELES LONG BEACH,435
LA/LB Ports,"COMPTON,CA",STARLING FREIGHT INC,565.5
LA/LB Ports,"CORONA, CA",FORREST LOGISTICS,427.75
LA/LB Ports,"CORONA, CA",Mid Lane Carriers Inc.,449.53
LA/LB Ports,"CORONA, CA",DCW Logistics,455.3
LA/LB Ports,"CORONA, CA",J&S LOGISTICS,456.75
LA/LB Ports,"CORONA, CA",fitted transportation,464
LA/LB Ports,"CORONA, CA","Hight Logistics, Inc.",471.25
LA/LB Ports,"CORONA, CA",South Bay Drayage- LOS ANGELES LONG BEACH,482.85
LA/LB Ports,"CORONA, CA",Trucking 2000,482.85
LA/LB Ports,"CORONA, CA",NGL LOGISTICS,493
LA/LB Ports,"CORONA, CA",NGL TRANSPORTATION,493
LA/LB Ports,"CORONA, CA",XTL Trucking,493
LA/LB Ports,"CORONA, CA",Elev8 Transportation LLC,494.45
LA/LB Ports,"CORONA, CA",Franco Trucking - LOS ANGELES LONG BEACH,507.5
LA/LB Ports,"CORONA, CA",Cargomatic,514.75
LA/LB Ports,"CORONA, CA",STARLING FREIGHT INC,754
LA/LB Ports,"COSTA MESA, CA",Mid Lane Carriers Inc.,362.5
LA/LB Ports,"COSTA MESA, CA",DCW Logistics,379.9
LA/LB Ports,"COSTA MESA, CA",FORREST LOGISTICS,384.25
LA/LB Ports,"COSTA MESA, CA",Trucking 2000,403.1
LA/LB Ports,"COSTA MESA, CA",Franco Trucking - LOS ANGELES LONG BEACH,406
LA/LB Ports,"COSTA MESA, CA",Elev8 Transportation LLC,411.8
LA/LB Ports,"COSTA MESA, CA",Cargomatic,413.25
LA/LB Ports,"COSTA MESA, CA","Hight Logistics, Inc.",413.25
LA/LB Ports,"COSTA MESA, CA",J&S LOGISTICS,413.25
LA/LB Ports,"COSTA MESA, CA",South Bay Drayage- LOS ANGELES LONG BEACH,413.25
LA/LB Ports,"COSTA MESA, CA",NGL LOGISTICS,435
LA/LB Ports,"COSTA MESA, CA",fitted transportation,507.5
LA/LB Ports,"COSTA MESA, CA",STARLING FREIGHT INC,725
LA/LB Ports,"COVINA, CA",fitted transportation,362.5
LA/LB Ports,"COVINA, CA",DCW Logistics,379.9
LA/LB Ports,"COVINA, CA",Mid Lane Carriers Inc.,389.89
LA/LB Ports,"COVINA, CA",FORREST LOGISTICS,398.75
LA/LB Ports,"COVINA, CA",J&S LOGISTICS,413.25
LA/LB Ports,"COVINA, CA",Franco Trucking - LOS ANGELES LONG BEACH,420.5
LA/LB Ports,"COVINA, CA",South Bay Drayage- LOS ANGELES LONG BEACH,420.5
LA/LB Ports,"COVINA, CA",Elev8 Transportation LLC,433.55
LA/LB Ports,"COVINA, CA","Hight Logistics, Inc.",435
LA/LB Ports,"COVINA, CA",NGL LOGISTICS,435
LA/LB Ports,"COVINA, CA",XTL Trucking,435
LA/LB Ports,"COVINA, CA",Trucking 2000,453.85
LA/LB Ports,"COVINA, CA",Cargomatic,645.25
LA/LB Ports,"COVINA, CA",STARLING FREIGHT INC,652.5
LA/LB Ports,"DALLAS, TX",XTL Trucking,5365
LA/LB Ports,"DALLAS, TX",NGL TRANSPORTATION,6525
LA/LB Ports,"DALLAS, TX",South Bay Drayage- LOS ANGELES LONG BEACH,7047
LA/LB Ports,"DALLAS, TX",Cargomatic,7134
LA/LB Ports,"DALLAS, TX",FORREST LOGISTICS,7192
LA/LB Ports,"DALLAS, TX","Hight Logistics, Inc.",8011.25
LA/LB Ports,"DESHLER, NE",XTL Trucking,6525
LA/LB Ports,"DESHLER, NE",Cargomatic,7467.5
LA/LB Ports,"DESHLER, NE",South Bay Drayage- LOS ANGELES LONG BEACH,8555
